cod_fecha;fecha
28072;8/11/1976
23392;16/01/1964
27177;28/05/1974
15053;18/03/1941
10447;7/08/1928
27596;21/07/1975
23504;7/05/1964
10189;23/11/1927
21987;12/03/1960
13334;3/07/1936
26439;20/05/1972
25110;29/09/1968
22826;29/06/1962
18098;19/07/1949
21282;7/04/1958
22537;13/09/1961
28490;31/12/1977
24722;7/09/1967
24324;5/08/1966
24409;29/10/1966
22071;4/06/1960
24515;12/02/1967
26304;6/01/1972
23878;16/05/1965
24497;25/01/1967
19869;25/05/1954
24958;30/04/1968
27989;17/08/1976
21270;26/03/1958
23854;22/04/1965
22610;25/11/1961
24112;5/01/1966
15976;27/09/1943
26975;7/11/1973
22225;5/11/1960
24293;5/07/1966
9411;6/10/1925
23759;17/01/1965
28505;15/01/1978
24942;14/04/1968
22505;12/08/1961
24859;22/01/1968
24398;18/10/1966
23022;11/01/1963
24884;16/02/1968
24810;4/12/1967
21203;18/01/1958
28014;11/09/1976
21513;24/11/1958
26222;16/10/1971
29666;21/03/1981
15267;18/10/1941
23702;21/11/1964
18009;21/04/1949
26199;23/09/1971
20696;29/08/1956
25819;8/09/1970
25111;30/09/1968
20747;19/10/1956
17863;26/11/1948
28309;3/07/1977
17566;3/02/1948
18787;8/06/1951
26634;1/12/1972
19737;13/01/1954
19267;30/09/1952
28102;8/12/1976
22106;9/07/1960
22799;2/06/1962
22262;12/12/1960
29999;17/02/1982
10049;6/07/1927
24339;20/08/1966
25598;30/01/1970
26457;7/06/1972
21243;27/02/1958
25784;4/08/1970
25837;26/09/1970
27573;28/06/1975
18817;8/07/1951
20650;14/07/1956
19679;16/11/1953
23928;5/07/1965
26668;4/01/1973
24392;12/10/1966
23711;30/11/1964
22523;30/08/1961
25646;19/03/1970
29949;29/12/1981
28795;1/11/1978
21238;22/02/1958
29156;28/10/1979
24031;16/10/1965
22904;15/09/1962
28772;9/10/1978
23666;16/10/1964
17203;5/02/1947
25475;29/09/1969
24465;24/12/1966
30168;5/08/1982
23334;19/11/1963
26446;27/05/1972
27172;23/05/1974
22854;27/07/1962
22983;3/12/1962
27143;24/04/1974
29614;28/01/1981
24090;14/12/1965
23465;29/03/1964
23676;26/10/1964
24832;26/12/1967
23560;2/07/1964
25785;5/08/1970
29123;25/09/1979
22207;18/10/1960
25030;11/07/1968
13369;7/08/1936
22181;22/09/1960
24879;11/02/1968
18402;19/05/1950
22591;6/11/1961
30064;23/04/1982
29828;30/08/1981
29272;21/02/1980
24438;27/11/1966
18861;21/08/1951
28880;25/01/1979
21972;26/02/1960
19110;26/04/1952
29363;22/05/1980
22526;2/09/1961
24185;19/03/1966
25160;18/11/1968
22797;31/05/1962
25245;11/02/1969
22198;9/10/1960
20510;25/02/1956
21765;3/08/1959
25214;11/01/1969
24595;3/05/1967
28720;18/08/1978
23934;11/07/1965
26753;30/03/1973
27232;22/07/1974
13373;11/08/1936
13302;1/06/1936
13576;2/03/1937
23567;9/07/1964
23437;1/03/1964
29489;25/09/1980
26947;10/10/1973
22529;5/09/1961
19368;9/01/1953
24852;15/01/1968
23781;8/02/1965
23354;9/12/1963
21146;22/11/1957
19942;6/08/1954
23301;17/10/1963
29715;9/05/1981
21954;8/02/1960
22514;21/08/1961
23983;29/08/1965
25451;5/09/1969
19856;12/05/1954
29174;15/11/1979
23218;26/07/1963
21628;19/03/1959
22556;2/10/1961
24165;27/02/1966
26323;25/01/1972
26545;3/09/1972
19569;29/07/1953
27084;24/02/1974
24696;12/08/1967
14327;23/03/1939
26352;23/02/1972
13220;11/03/1936
25735;16/06/1970
21374;8/07/1958
